Course ID,Club Name,Course Name,City,State,
24110,Town of Colonie GC,Town of Colonie GC - White,Schenectady,NY,10623
3745,Town of Colonie GC,Town of Colonie GC - White/Blue Course,Schenectady,NY,10624
3703,Traditions at the Glen,Traditions at the Glen,Johnson City,NY,10625
9350,Transit Valley C C,Transit Valley C C,East Amherst,NY,10626
9335,Tri County C C,Tri County C C,Forrestville,NY,10627
3335,Triple Creek Golf Club,Triple Creek Golf Club,Nunda,NY,10628
28718,Trumansburg Golf Club,Trumansburg Golf Club,Trumansburg,NY,10629
23742,Trump Golf Links at Ferry Point,Trump Golf Links at Ferry Point,The Bronx,NY,10630
6815,Trump National Golf Club - Hudson Valley,Trump National Golf Club - Hudson Valley,Hopewell Junction,NY,10631
6629,Trump National Golf Club NY,Trump National Golf Club NY,Briarcliff Manor,NY,10632
3881,Tupper Lake Country Club,Tupper Lake Country Club,Tupper Lake,NY,10633
3847,Turin Highlands CC,Turin Highlands CC,Turin,NY,10634
9351,Turkey Run Golf Course,Turkey Run Golf Course,Arcade,NY,10635
3724,Turning Stone Casino Resort,Turning Stone Casino Resort - Atunyote,Verona,NY,10636
3764,Turning Stone Casino Resort,Turning Stone Casino Resort - Kaluhyat,Verona,NY,10637
23810,Turning Stone Casino Resort,Turning Stone Casino Resort - Pleasant Knolls,Verona,NY,10638
3763,Turning Stone Casino Resort,Turning Stone Casino Resort - Shenendoah,Verona,NY,10639
13721,Turtle Creek Golf Course,Turtle Creek Golf Course,Plattekill,NY,10640
3747,Tuscarora Golf Club,Tuscarora Golf Club,Camillus,NY,10641
6736,"Tuxedo Club, The","Tuxedo Club, The",Tuxedo Park,NY,10642
13766,Twaalfskill Golf Course,Twaalfskill Golf Course,Kingston,NY,10643
3718,Twin Hickory Golf Club,Twin Hickory Golf Club,Hornell,NY,10644
3344,Twin Hills GC,Twin Hills GC,Spencerport,NY,10645
3710,Twin Ponds Golf and Country Club,Twin Ponds Golf and Country Club,New York Mills,NY,10646
