Club Name,Course Name,City,State,Course ID,Google Places ID,Latitude,Longitude,Access
Prattville Country Club,Prattville Country Club,Prattville,AL,11353,ChIJmZM1wAOPjogRh7uAOK8iayo,32.46958,-86.502448,Private
Quail Creek Golf Course,Quail Creek Golf Course,Fairhope,AL,11394,ChIJtQOScbJqmogRnvaxEg52m-8,30.513439,-87.844103,Public
Quail Walk Country Club,Quail Walk Country Club,Wetumpka,AL,11283,ChIJu0C6KCwnjIgRvEdqxYxyqIQ,32.561921,-86.22431,Public
Redmont Recreation Club,Redmont Recreation Club,Red Bay,AL,11265,ChIJeWFRCUaAh4gRjSiZA6tARB8,34.4625043,-88.1439171,Public
River Oaks Golf Course,River Oaks Golf Course,Geneva,AL,11304,ChIJrfqvHxFGkogRSCZ9cbT8vFs,31.0260079,-85.8576752,Public
Rock Creek,Rock Creek,Fairhope,AL,11380,ChIJh2iBU6RBmogR5qiJV0bndWY,30.571392,-87.88726,Public
Roundabout Plantation Golf Club,Roundabout Plantation Golf Club,Dothan,AL,11391,ChIJg-gCKqmVkogRDpSr4dROoMY,31.230141,-85.307691,Public
Saugahatchee Country Club,Saugahatchee Country Club,Opelika,AL,15187,ChIJjRi0IHPtjIgRGHqMdErM5zg,32.6016907,-85.4166792,Private
Selma Country Club,Selma Country Club,Selma,AL,11363,ChIJSQxhAXUGj4gRdmSzvS7JZ_E,32.411,-87.0376,Private
Silver Lakes,Silver Lakes - Backbreaker-Mindbreaker,Glencoe,AL,17722,ChIJn455mSJIiogRTS2W9tgjqYA,33.882437,-85.926896,Public
Silver Lakes,Silver Lakes - Heartbreaker-Backbreaker,Glencoe,AL,17724,ChIJn455mSJIiogRTS2W9tgjqYA,33.882437,-85.926896,Public
Silver Lakes,Silver Lakes - Mindbreaker-Heartbreaker,Glencoe,AL,17723,ChIJn455mSJIiogRTS2W9tgjqYA,33.882437,-85.926896,Public
Silver Wings Golf Course,Silver Wings Golf Course - Blue/Red,Ft Rucker,AL,11287,ChIJKeRCs9lkkogRmjtKw1Chlr8,31.327347,-85.737811,Public
Silver Wings Golf Course,Silver Wings Golf Course - Red/White,Ft Rucker,AL,11288,ChIJKeRCs9lkkogRmjtKw1Chlr8,31.327347,-85.737811,Public
Silver Wings Golf Course,Silver Wings Golf Course - White/Blue,Ft Rucker,AL,11286,ChIJKeRCs9lkkogRmjtKw1Chlr8,31.327347,-85.737811,Public
Soldiers Creek Golf Course,Soldiers Creek Golf Course,Elberta,AL,11390,ChIJwf9DzfoJmogR46gZWarPGPk,30.3932088,-87.5476487,Public
Southern Gayles Golf Club,Southern Gayles Golf Club,Athens,AL,11354,ChIJPUu_txFfYogRtkyk37NCBKk,34.879143,-86.873818,Public
Steelwood,Steelwood,Loxley,AL,11381,ChIJL1iceWVlmogR--iv_R7FMvc,30.7032393,-87.7252462,Private
Stillwaters Golf,Stillwaters Golf,Dadeville,AL,14768,ChIJHds2HtFujIgRtvqEMjE0Ix8,32.75358,-85.794899,Public
Sylacauga Country Club,Sylacauga Country Club,Sylacauga,AL,11377,ChIJQxRDgbnii4gRQdlhlqlYPxI,33.2183864,-86.2428885,Private
Terrapin Hills Country Club,Terrapin Hills Country Club,Fort Payne,AL,11392,ChIJT_fDO6bWYYgRNBfQQ2cfWso,34.512995,-85.686447,Private
The Links at Redstone,The Links at Redstone - Patriot Course,Redstone Arsenal,AL,11256,ChIJs7tsf5puYogRTmqTJofI9PE,34.6976291,-86.6652612,Public
The Links at Redstone,The Links at Redstone - Warrior,Redstone Arsenal,AL,13685,ChIJs7tsf5puYogRTmqTJofI9PE,34.6976291,-86.6652612,Public
The Pines of Chatom,The Pines of Chatom,Chatom,AL,11273,ChIJy8lwrkIom4gRns0KNZ2V7lk,31.455703,-88.206333,Public
The Pines of Millbrook,The Pines of Millbrook,Millbrook,AL,11267,ChIJwxqPBAObjogRVH6ZDeiwDCY,32.521524,-86.375909,Public
The Ravine Golf Course,The Ravine Golf Course,Demopolis,AL,11327,ChIJJawyIZaZhYgR6PoE5Ozfwvg,32.4880018,-87.795813,Public
Timber Creek Golf Club,Timber Creek Golf Club - Dogwood/Pines,Daphne,AL,11367,ChIJMdYbRphCmogRQUbURnETLoE,30.672656,-87.870442,Public
Timber Creek Golf Club,Timber Creek Golf Club - Magnolia/Dogwood,Daphne,AL,11366,ChIJMdYbRphCmogRQUbURnETLoE,30.672656,-87.870442,Public
Timber Creek Golf Club,Timber Creek Golf Club - Pines/Magnolia,Daphne,AL,11368,ChIJMdYbRphCmogRQUbURnETLoE,30.672656,-87.870442,Public
Timber Ridge Golf Club,Timber Ridge Golf Club,Talledega,AL,11309,ChIJXbsCPqDDi4gRCvGC9prLi2w,33.4361979,-86.0716327,Public
Timberline Golf Course,Timberline Golf Course,Calera,AL,11336,ChIJQ2gqPHMyiYgRJhlgHvSeqbY,33.099649,-86.735619,Public
Troy Country Club,Troy Country Club,Troy,AL,11311,ChIJh3MewwntjYgRsDypQfKFL-Y,31.7771747,-85.9664782,Private
Trussville Country Club,Trussville Country Club,Trussville,AL,11346,ChIJh4N72OhyiYgR--NjRZwWhf0,33.600369,-86.553713,Public
Turtle Point Yacht & CC,Turtle Point Yacht & CC,Killen,AL,11274,ChIJRzOj4U81fYgRYyzo7N47MOc,34.842482,-87.547355,Private
Twin Bridges Golf Club,Twin Bridges Golf Club,Gadsden,AL,11384,ChIJ1UUqFOg-iogRXNIk4H-_7D0,34.022081,-85.982646,Public
Twin Pines,Twin Pines,Russellville,AL,11275,ChIJFVZYuWdYfYgRtI1KNUMZp4g,34.571446,-87.675065,Public
Valley Grande Golf Course,Valley Grande Golf Course,Valley Grande,AL,11310,ChIJq5R6lTEOj4gRJ0eMsNavqms,32.4863208,-87.1155593,Public
Vanity Fair Golf & Tennis Club,Vanity Fair Golf & Tennis Club - Vanity Fair,Monroeville,AL,14215,ChIJV301OX0ckIgRfvpICkxUnRs,31.519076,-87.340038,Private
Bear Valley Golf Course,Bear Valley Golf Course,Kodiak,AK,12990,ChIJOQaTcUrD6lYRz7QGf0AesDA,57.7836385,-152.5627865,Public
Birch Ridge GC,Birch Ridge GC,Soldotna,AK,12987,ChIJ6UK2jjVhxlYRz-TL5nwqdSU,60.498924,-151.00505,Public
Bird Homestead GC,Bird Homestead GC,Soldotna,AK,12986,ChIJvWJtLGJnxlYRxmhKNFe87yk,60.501288,-150.853502,Public
Chena Bend GC,Chena Bend GC,Fairbanks,AK,12981,ChIJC_M9NpZPMlERKzPtshXZIEs,64.8329555,-147.5814992,Public
Fishhook GC,Fishhook GC,Palmer,AK,12980,ChIJaV_WYnAeyVYRUPDpiaQN0mo,61.6272291,-149.1253847,Public
Kenai Golf Association,Kenai Golf Association,Kenai,AK,12988,ChIJOak17VJ7xlYRWYg_mptF6dA,60.559852,-151.191097,Public
Moose Run GC,Moose Run GC - Creek Course,Anchorage,AK,12989,ChIJ9xOJtUaUyFYRjvfg28zXGfg,61.2337327,-149.6675208,Public
Moose Run GC,Moose Run GC - Hill Course,Anchorage,AK,12992,ChIJ9xOJtUaUyFYRjvfg28zXGfg,61.2337327,-149.6675208,Public
Palmer GC,Palmer GC,Palmer,AK,12984,ChIJJTYchIgdyVYRrsv-dBpNzS4,61.5848851,-149.0985738,Public
Sea Mountain GC,Sea Mountain GC,Sitka,AK,12979,ChIJefZN0glmBFQR5jGLybJOVGQ,57.101839,-135.396018,Public
