Club Name,Course Name,City,State,Order,Full Name,Course ID
High Point G.C.,High Point G.C.,MONTAGUE,NJ,9604,"High Point G.C., MONTAGUE, NJ",13393
Hillsborough Golf & Country Club,Hillsborough Golf & Country Club,Neshanic Station,NJ,9605,"Hillsborough Golf & Country Club, Neshanic Station, NJ",6594
Hodakowski,Hodakowski,Far Hills,NJ,9606,"Hodakowski, Far Hills, NJ",24126
Hollywood Golf Club,Hollywood Golf Club,Deal,NJ,9607,"Hollywood Golf Club, Deal, NJ",6875
Hominy Hill,Hominy Hill,Colt's Neck,NJ,9608,"Hominy Hill, Colt's Neck, NJ",24171
Hominy Hill Golf Course,Hominy Hill Golf Course,Colts Neck,NJ,9609,"Hominy Hill Golf Course, Colts Neck, NJ",6595
Hopewell Valley Golf Club,Hopewell Valley Golf Club,Hopewell,NJ,9610,"Hopewell Valley Golf Club, Hopewell, NJ",3218
Howell Park Golf Course,Howell Park Golf Course,Farmingdale,NJ,9611,"Howell Park Golf Course, Farmingdale, NJ",13374
Hyatt Hills Golf Club,Hyatt Hills Golf Club,Clark,NJ,9612,"Hyatt Hills Golf Club, Clark, NJ",6868
Independence Way Club,Independence Way Club,Liberty Corner,NJ,9613,"Independence Way Club, Liberty Corner, NJ",24225
Independence Way Club,Independence Way Club - Course 2,Liberty Corner,NJ,9614,"Independence Way Club - Course 2, Liberty Corner, NJ",24241
Indian Spring Country Club,Indian Spring Country Club,Marlton,NJ,9615,"Indian Spring Country Club, Marlton, NJ",13409
Jumping Brook Country Club,Jumping Brook Country Club,Neptune,NJ,9616,"Jumping Brook Country Club, Neptune, NJ",6708
Knickerbocker Country Club,Knickerbocker Country Club,Tenafly,NJ,9617,"Knickerbocker Country Club, Tenafly, NJ",6601
Knob Hill Golf Club,Knob Hill Golf Club,Manalapan,NJ,9618,"Knob Hill Golf Club, Manalapan, NJ",13379
Knoll Country Club,Knoll Country Club - Knoll Country Club - East,Parsippany,NJ,9619,"Knoll Country Club - Knoll Country Club - East, Parsippany, NJ",13375
Knoll Country Club,Knoll Country Club - Knoll Country Club - West,Parsippany,NJ,9620,"Knoll Country Club - Knoll Country Club - West, Parsippany, NJ",6709
Lake Mohawk GC,Lake Mohawk GC,Sparta,NJ,9621,"Lake Mohawk GC, Sparta, NJ",21054
Lakewood Country Club,Lakewood Country Club,LAKEWOOD,NJ,9622,"Lakewood Country Club, LAKEWOOD, NJ",13804
Laurel Creek Country Club,Laurel Creek Country Club,Mt. Laurel,NJ,9623,"Laurel Creek Country Club, Mt. Laurel, NJ",3216
Liberty National Golf Club,Liberty National Golf Club,Jersey City,NJ,9624,"Liberty National Golf Club, Jersey City, NJ",6735
Links Golf Club,Links Golf Club,Marlton,NJ,9625,"Links Golf Club, Marlton, NJ",3106
Linwood Country Club,Linwood Country Club,Linwood,NJ,9626,"Linwood Country Club, Linwood, NJ",1316
Little Mill Country Club,Little Mill Country Club - Blue to Red,Marlton,NJ,9627,"Little Mill Country Club - Blue to Red, Marlton, NJ",3207
Little Mill Country Club,Little Mill Country Club - Blue to Red Alternate,Marlton,NJ,9628,"Little Mill Country Club - Blue to Red Alternate, Marlton, NJ",3275
Little Mill Country Club,Little Mill Country Club - Red to White,Marlton,NJ,9629,"Little Mill Country Club - Red to White, Marlton, NJ",3206
Little Mill Country Club,Little Mill Country Club - White to Blue,Marlton,NJ,9630,"Little Mill Country Club - White to Blue, Marlton, NJ",3208
Little Mill Country Club,Little Mill Country Club - White to Blue Alternate,Marlton,NJ,9631,"Little Mill Country Club - White to Blue Alternate, Marlton, NJ",3276
Madison Golf Club,Madison Golf Club,Madison,NJ,9632,"Madison Golf Club, Madison, NJ",6650
Manasquan River Golf Club,Manasquan River Golf Club,Brielle,NJ,9633,"Manasquan River Golf Club, Brielle, NJ",6638
Maplewood Country Club,Maplewood Country Club,Maplewood,NJ,9634,"Maplewood Country Club, Maplewood, NJ",6871
Mattawang Golf Club,Mattawang Golf Club,Belle Mead,NJ,9635,"Mattawang Golf Club, Belle Mead, NJ",6880
Mays Landing Golf and Country Club,Mays Landing Golf and Country Club,Mays Landing,NJ,9636,"Mays Landing Golf and Country Club, Mays Landing, NJ",1308
McCullough's Emerald Golf Links,McCullough's Emerald Golf Links,Egg Harbor Twp,NJ,9637,"McCullough's Emerald Golf Links, Egg Harbor Twp, NJ",1317
Meadows at Middlesex Golf Course,Meadows at Middlesex Golf Course,Plainsboro,NJ,9638,"Meadows at Middlesex Golf Course, Plainsboro, NJ",13384
Medford Lakes Country Club,Medford Lakes Country Club,Medford Lakes,NJ,9639,"Medford Lakes Country Club, Medford Lakes, NJ",3186
Medford Village Country Club,Medford Village Country Club,Medford,NJ,9640,"Medford Village Country Club, Medford, NJ",3179
Mendham Golf & Tennis Club,Mendham Golf & Tennis Club,Mendham,NJ,9641,"Mendham Golf & Tennis Club, Mendham, NJ",6910
MERCER OAKS GC,MERCER OAKS GC - EAST,WEST WINDSOR,NJ,9642,"MERCER OAKS GC - EAST, WEST WINDSOR, NJ",13402
MERCER OAKS GC,MERCER OAKS GC - WEST,WEST WINDSOR,NJ,9643,"MERCER OAKS GC - WEST, WEST WINDSOR, NJ",21058
Merchantville Country Club,Merchantville Country Club,Cherry Hill,NJ,9644,"Merchantville Country Club, Cherry Hill, NJ",3117
Metedeconk National Golf Club,Metedeconk National Golf Club - First,Jackson,NJ,9645,"Metedeconk National Golf Club - First, Jackson, NJ",24257
Metedeconk National Golf Club,Metedeconk National Golf Club - Founders,Jackson,NJ,9646,"Metedeconk National Golf Club - Founders, Jackson, NJ",6917
Metedeconk National Golf Club,Metedeconk National Golf Club - Pines,Jackson,NJ,9647,"Metedeconk National Golf Club - Pines, Jackson, NJ",6919
Metedeconk National Golf Club,Metedeconk National Golf Club - Second,Jackson,NJ,9648,"Metedeconk National Golf Club - Second, Jackson, NJ",24258
Metedeconk National Golf Club,Metedeconk National Golf Club - Third,Jackson,NJ,9649,"Metedeconk National Golf Club - Third, Jackson, NJ",24259
Metedeconk National Golf Club,Metedeconk National Golf Club - Tournament,Jackson,NJ,9650,"Metedeconk National Golf Club - Tournament, Jackson, NJ",6918
Metuchen Golf and Country Club,Metuchen Golf and Country Club,Edison,NJ,9651,"Metuchen Golf and Country Club, Edison, NJ",6752
Mine Brook Golf Club,Mine Brook Golf Club,Hackettstown,NJ,9652,"Mine Brook Golf Club, Hackettstown, NJ",24353
MINEBROOK CC,MINEBROOK CC,HACKETTSTOWN,NJ,9653,"MINEBROOK CC, HACKETTSTOWN, NJ",13388
Montammy Golf Club,Montammy Golf Club,Alpine,NJ,9654,"Montammy Golf Club, Alpine, NJ",6783
Montclair Golf Club,Montclair Golf Club - Average,West Orange,NJ,9655,"Montclair Golf Club - Average, West Orange, NJ",18176
Montclair Golf Club,Montclair Golf Club - Montclair Golf Club 1-2,West Orange,NJ,9656,"Montclair Golf Club - Montclair Golf Club 1-2, West Orange, NJ",6651
Montclair Golf Club,Montclair Golf Club - Montclair Golf Club 1-3,West Orange,NJ,9657,"Montclair Golf Club - Montclair Golf Club 1-3, West Orange, NJ",6652
Montclair Golf Club,Montclair Golf Club - Montclair Golf Club 1-4,West Orange,NJ,9658,"Montclair Golf Club - Montclair Golf Club 1-4, West Orange, NJ",6681
Montclair Golf Club,Montclair Golf Club - Montclair Golf Club 2-3,West Orange,NJ,9659,"Montclair Golf Club - Montclair Golf Club 2-3, West Orange, NJ",6679
Montclair Golf Club,Montclair Golf Club - Montclair Golf Club 2-4,West Orange,NJ,9660,"Montclair Golf Club - Montclair Golf Club 2-4, West Orange, NJ",6680
Montclair Golf Club,Montclair Golf Club - Montclair Golf Club 3-4,West Orange,NJ,9661,"Montclair Golf Club - Montclair Golf Club 3-4, West Orange, NJ",6653
Moorestown Field Club,Moorestown Field Club,Moorestown,NJ,9662,"Moorestown Field Club, Moorestown, NJ",3178
Morris County Golf Club,Morris County Golf Club,Convent Station,NJ,9663,"Morris County Golf Club, Convent Station, NJ",6720
Mount Tabor Country Club,Mount Tabor Country Club,Mount Tabor,NJ,9664,"Mount Tabor Country Club, Mount Tabor, NJ",6582
Mountain Ridge Country Club,Mountain Ridge Country Club,West Caldwell,NJ,9665,"Mountain Ridge Country Club, West Caldwell, NJ",6606
Mountain View Golf Club,Mountain View Golf Club,West Trenton,NJ,9666,"Mountain View Golf Club, West Trenton, NJ",13360
Mt. Tabor Country Club,Mt. Tabor Country Club,Mt. Tabor,NJ,9667,"Mt. Tabor Country Club, Mt. Tabor, NJ",26507
Navesink Country Club,Navesink Country Club,Middletown,NJ,9668,"Navesink Country Club, Middletown, NJ",6711
Neshanic Valley Golf Course,Neshanic Valley Golf Course - Academy,Neshanic Station,NJ,9669,"Neshanic Valley Golf Course - Academy, Neshanic Station, NJ",6578
Neshanic Valley Golf Course,Neshanic Valley Golf Course - Lake/Ridge,Neshanic Station,NJ,9670,"Neshanic Valley Golf Course - Lake/Ridge, Neshanic Station, NJ",13771
Neshanic Valley Golf Course,Neshanic Valley Golf Course - Meadow,Neshanic Station,NJ,9671,"Neshanic Valley Golf Course - Meadow, Neshanic Station, NJ",26530
Neshanic Valley Golf Course,Neshanic Valley Golf Course - Meadow/Lake,Neshanic Station,NJ,9672,"Neshanic Valley Golf Course - Meadow/Lake, Neshanic Station, NJ",6577
Neshanic Valley Golf Course,Neshanic Valley Golf Course - Meadow/Ridge,Neshanic Station,NJ,9673,"Neshanic Valley Golf Course - Meadow/Ridge, Neshanic Station, NJ",13769
New Jersey National Golf Club,New Jersey National Golf Club,Basking Ridge,NJ,9674,"New Jersey National Golf Club, Basking Ridge, NJ",6765
Newton Country Club,Newton Country Club,Newton,NJ,9675,"Newton Country Club, Newton, NJ",6607
North Jersey Country Club,North Jersey Country Club,Wayne,NJ,9676,"North Jersey Country Club, Wayne, NJ",6801
Oak Hill Golf Club,Oak Hill Golf Club,Milford,NJ,9677,"Oak Hill Golf Club, Milford, NJ",6866
Oak Ridge Golf Course,Oak Ridge Golf Course,Clark,NJ,9678,"Oak Ridge Golf Course, Clark, NJ",6905
Ocean Acres Country Club,Ocean Acres Country Club,Manahawkin,NJ,9679,"Ocean Acres Country Club, Manahawkin, NJ",1337
Old Orchard,Old Orchard - OLD ORCHARD (WOMEN),Eatontown,NJ,9680,"Old Orchard - OLD ORCHARD (WOMEN), Eatontown, NJ",21209
OLD ORCHARD (MEN),OLD ORCHARD (MEN),EATONTOWN,NJ,9681,"OLD ORCHARD (MEN), EATONTOWN, NJ",13406
Old Tappan Golf Club,Old Tappan Golf Club,Old Tappan,NJ,9682,"Old Tappan Golf Club, Old Tappan, NJ",13394
Old York Country Club at Chesterfield,Old York Country Club at Chesterfield,Columbus,NJ,9683,"Old York Country Club at Chesterfield, Columbus, NJ",3133
Orchard Hills Golf Club,Orchard Hills Golf Club,PARAMUS,NJ,9684,"Orchard Hills Golf Club, PARAMUS, NJ",6786
Overpeck Golf Club,Overpeck Golf Club,TEANECK,NJ,9685,"Overpeck Golf Club, TEANECK, NJ",6887
Packanack Golf Club,Packanack Golf Club,Wayne,NJ,9686,"Packanack Golf Club, Wayne, NJ",13626
Panther Valley Country Club,Panther Valley Country Club,Allamuchy,NJ,9687,"Panther Valley Country Club, Allamuchy, NJ",6805
Paramus Golf Course,Paramus Golf Course,Paramus,NJ,9688,"Paramus Golf Course, Paramus, NJ",6608
Peace Pipe Country Club,Peace Pipe Country Club,Denville,NJ,9689,"Peace Pipe Country Club, Denville, NJ",6609
Pebble Creek Golf Club,Pebble Creek Golf Club,Colts Neck,NJ,9690,"Pebble Creek Golf Club, Colts Neck, NJ",24255
Peddie Golf Club,Peddie Golf Club,Hightstown,NJ,9691,"Peddie Golf Club, Hightstown, NJ",6774
Pennsauken Country Club,Pennsauken Country Club,Pennsauken,NJ,9692,"Pennsauken Country Club, Pennsauken, NJ",13380
Picatinny Golf Club,Picatinny Golf Club,Picatinny,NJ,9693,"Picatinny Golf Club, Picatinny, NJ",6610
Pinch Brook Golf Course,Pinch Brook Golf Course,Florham Park,NJ,9694,"Pinch Brook Golf Course, Florham Park, NJ",6687
Pine Barrens Golf Club,Pine Barrens Golf Club,Jackson,NJ,9695,"Pine Barrens Golf Club, Jackson, NJ",6611
Pine Brook Golf Course,Pine Brook Golf Course,Englishtown,NJ,9696,"Pine Brook Golf Course, Englishtown, NJ",20763
Pine Ridge GC,Pine Ridge GC,LAKEHURST,NJ,9697,"Pine Ridge GC, LAKEHURST, NJ",13401
Pine Valley Golf Club,Pine Valley Golf Club,Pine Valley,NJ,9698,"Pine Valley Golf Club, Pine Valley, NJ",3079
Pinelands Golf Club,Pinelands Golf Club,Winslow,NJ,9699,"Pinelands Golf Club, Winslow, NJ",1347
Pitman Golf Course,Pitman Golf Course,Sewell,NJ,9700,"Pitman Golf Course, Sewell, NJ",1346
Plainfield Country Club,Plainfield Country Club,Edison,NJ,9701,"Plainfield Country Club, Edison, NJ",6627
Plainfield West,Plainfield West,Edison,NJ,9702,"Plainfield West, Edison, NJ",6612
Preakness Hills Country Club,Preakness Hills Country Club,Wayne,NJ,9703,"Preakness Hills Country Club, Wayne, NJ",6912
Preakness Valley Golf Course,Preakness Valley Golf Course - East,Wayne,NJ,9704,"Preakness Valley Golf Course - East, Wayne, NJ",14860
Preakness Valley Golf Course,Preakness Valley Golf Course - West,Wayne,NJ,9705,"Preakness Valley Golf Course - West, Wayne, NJ",14859
Princeton Country Club,Princeton Country Club,Princeton,NJ,9706,"Princeton Country Club, Princeton, NJ",13385
Quail Brook Golf Course,Quail Brook Golf Course,Somerset,NJ,9707,"Quail Brook Golf Course, Somerset, NJ",6700
Ramblewood Country Club,Ramblewood Country Club - Blue/Red,Mt. Laurel,NJ,9708,"Ramblewood Country Club - Blue/Red, Mt. Laurel, NJ",1319
Ramblewood Country Club,Ramblewood Country Club - Red/White,Mt. Laurel,NJ,9709,"Ramblewood Country Club - Red/White, Mt. Laurel, NJ",1321
Ramblewood Country Club,Ramblewood Country Club - White/Blue,Mt. Laurel,NJ,9710,"Ramblewood Country Club - White/Blue, Mt. Laurel, NJ",1320
Ramsey Golf & Country Club,Ramsey Golf & Country Club,Ramsey,NJ,9711,"Ramsey Golf & Country Club, Ramsey, NJ",6784
Rancocas Golf Club,Rancocas Golf Club,Willingboro,NJ,9712,"Rancocas Golf Club, Willingboro, NJ",1342
RARITAN LANDING,RARITAN LANDING,TOMS RIVER,NJ,9713,"RARITAN LANDING, TOMS RIVER, NJ",13387
Raritan Valley Country Club,Raritan Valley Country Club,Bridgewater,NJ,9714,"Raritan Valley Country Club, Bridgewater, NJ",6870
REGENCY AT MONROE,REGENCY AT MONROE,MONROE,NJ,9715,"REGENCY AT MONROE, MONROE, NJ",13399
RENAISSANCE GC,RENAISSANCE GC,MANCHESTER,NJ,9716,"RENAISSANCE GC, MANCHESTER, NJ",13408
"Ridge at Back Brook, The","Ridge at Back Brook, The",Ringoes,NJ,9717,"Ridge at Back Brook, The, Ringoes, NJ",6884
Ridgewood Country Club,Ridgewood Country Club - Cart Course,Paramus,NJ,9718,"Ridgewood Country Club - Cart Course, Paramus, NJ",28274
Ridgewood Country Club,Ridgewood Country Club - Center/East,Paramus,NJ,9719,"Ridgewood Country Club - Center/East, Paramus, NJ",6715
Ridgewood Country Club,Ridgewood Country Club - Championship Course,Paramus,NJ,9720,"Ridgewood Country Club - Championship Course, Paramus, NJ",24146
Ridgewood Country Club,Ridgewood Country Club - East/West,Paramus,NJ,9721,"Ridgewood Country Club - East/West, Paramus, NJ",6716
Ridgewood Country Club,Ridgewood Country Club - West/Center,Paramus,NJ,9722,"Ridgewood Country Club - West/Center, Paramus, NJ",13413
River Vale Country Club,River Vale Country Club,River Vale,NJ,9723,"River Vale Country Club, River Vale, NJ",13741
Riverton Country Club,Riverton Country Club,Riverton,NJ,9724,"Riverton Country Club, Riverton, NJ",3099
Riverton Country Club,Riverton Country Club - Loop,Riverton,NJ,9725,"Riverton Country Club - Loop, Riverton, NJ",21205
RiverWinds Golf Club,RiverWinds Golf Club,Thorofare,NJ,9726,"RiverWinds Golf Club, Thorofare, NJ",1312
Rock Spring,Rock Spring,West Orange,NJ,9727,"Rock Spring, West Orange, NJ",6639
Rock Spring Club,Rock Spring Club,West Orange,NJ,9728,"Rock Spring Club, West Orange, NJ",24376
Rockaway River Country Club,Rockaway River Country Club,Denville,NJ,9729,"Rockaway River Country Club, Denville, NJ",6740
Rockleigh Golf Course,Rockleigh Golf Course - Rockleigh Golf Course Blue,Rockleigh,NJ,9730,"Rockleigh Golf Course - Rockleigh Golf Course Blue, Rockleigh, NJ",6641
Rockleigh Golf Course,Rockleigh Golf Course - Rockleigh Golf Course Red/White,Rockleigh,NJ,9731,"Rockleigh Golf Course - Rockleigh Golf Course Red/White, Rockleigh, NJ",6685
Rolling Greens GC,Rolling Greens GC,Newton,NJ,9732,"Rolling Greens GC, Newton, NJ",13362
Roselle Golf Club,Roselle Golf Club,Roselle,NJ,9733,"Roselle Golf Club, Roselle, NJ",6741
Rossmoor Golf Course,Rossmoor Golf Course,Monroe Township,NJ,9734,"Rossmoor Golf Course, Monroe Township, NJ",6821
Roxiticus Golf Club,Roxiticus Golf Club,Mendham,NJ,9735,"Roxiticus Golf Club, Mendham, NJ",6834
Royce Brook Golf Club,Royce Brook Golf Club - Royce Brook - East Course,Somerville,NJ,9736,"Royce Brook Golf Club - Royce Brook - East Course, Somerville, NJ",6613
Royce Brook Golf Club,Royce Brook Golf Club - Royce Brook - West Course,Somerville,NJ,9737,"Royce Brook Golf Club - Royce Brook - West Course, Somerville, NJ",6614
Rumson Country Club,Rumson Country Club,Rumson,NJ,9738,"Rumson Country Club, Rumson, NJ",6744
Running Deer Golf Club,Running Deer Golf Club,Elmer,NJ,9739,"Running Deer Golf Club, Elmer, NJ",1339
Rutgers University Golf Course,Rutgers University Golf Course,Piscataway,NJ,9740,"Rutgers University Golf Course, Piscataway, NJ",6701
Sakima Country Club,Sakima Country Club,Carney's Point,NJ,9741,"Sakima Country Club, Carney's Point, NJ",3123
Scotch Hills Country Club,Scotch Hills Country Club,Scotch Plains,NJ,9742,"Scotch Hills Country Club, Scotch Plains, NJ",6767
Scotland Run Golf Club,Scotland Run Golf Club,Williamstown,NJ,9743,"Scotland Run Golf Club, Williamstown, NJ",1350
Sea Oaks Country Club,Sea Oaks Country Club,Little Egg Harbor,NJ,9744,"Sea Oaks Country Club, Little Egg Harbor, NJ",13386
Seaview Resort & Spa,Seaview Resort & Spa - Bay Course,Galloway,NJ,9745,"Seaview Resort & Spa - Bay Course, Galloway, NJ",1313
Seaview Resort & Spa,Seaview Resort & Spa - Pines Course,Galloway,NJ,9746,"Seaview Resort & Spa - Pines Course, Galloway, NJ",1314
Shackamaxon Golf and Country Club,Shackamaxon Golf and Country Club,Scotch Plains,NJ,9747,"Shackamaxon Golf and Country Club, Scotch Plains, NJ",6833
Shadow Isle,Shadow Isle,Colts Neck,NJ,9748,"Shadow Isle, Colts Neck, NJ",6864
Shadow Lake Village Golf Club,Shadow Lake Village Golf Club,Red Bank,NJ,9749,"Shadow Lake Village Golf Club, Red Bank, NJ",13755
Shark River Golf Course,Shark River Golf Course,Neptune,NJ,9750,"Shark River Golf Course, Neptune, NJ",6712
Shore Gate Golf Club,Shore Gate Golf Club,Ocean View,NJ,9751,"Shore Gate Golf Club, Ocean View, NJ",1334
Skyview Golf Club,Skyview Golf Club,Sparta,NJ,9752,"Skyview Golf Club, Sparta, NJ",6654
Skyway G.C.,Skyway G.C.,Jersey City,NJ,9753,"Skyway G.C., Jersey City, NJ",23956
Somerset Hills Country Club,Somerset Hills Country Club,Bernardsville,NJ,9754,"Somerset Hills Country Club, Bernardsville, NJ",6718
Spooky Brook Golf Course,Spooky Brook Golf Course,Somerset,NJ,9755,"Spooky Brook Golf Course, Somerset, NJ",6914
Spring Brook Country Club,Spring Brook Country Club,Morristown,NJ,9756,"Spring Brook Country Club, Morristown, NJ",6757
Spring Lake GC,Spring Lake GC,Spring Lake,NJ,9757,"Spring Lake GC, Spring Lake, NJ",6819
Spring Meadow GC,Spring Meadow GC,Farmingdale,NJ,9758,"Spring Meadow GC, Farmingdale, NJ",13363
Springdale Golf Club,Springdale Golf Club,Princeton,NJ,9759,"Springdale Golf Club, Princeton, NJ",6862
Springfield Golf Center,Springfield Golf Center,Mt Holly,NJ,9760,"Springfield Golf Center, Mt Holly, NJ",1353
Stanton Ridge Golf & CC,Stanton Ridge Golf & CC,Stanton,NJ,9761,"Stanton Ridge Golf & CC, Stanton, NJ",6916
Stone Harbor Golf Club,Stone Harbor Golf Club,Cape May Ct. House,NJ,9762,"Stone Harbor Golf Club, Cape May Ct. House, NJ",1358
Suburban Golf Club,Suburban Golf Club,Union,NJ,9763,"Suburban Golf Club, Union, NJ",6713
Suneagles Golf Club,Suneagles Golf Club,Fort Monmouth,NJ,9764,"Suneagles Golf Club, Fort Monmouth, NJ",6714
Sunset Valley Golf Course,Sunset Valley Golf Course,Pompton Plains,NJ,9765,"Sunset Valley Golf Course, Pompton Plains, NJ",13973
Tamarack Golf Course,Tamarack Golf Course - Tamarack Golf Course - East,East Brunswick,NJ,9766,"Tamarack Golf Course - Tamarack Golf Course - East, East Brunswick, NJ",6619
Tamarack Golf Course,Tamarack Golf Course - Tamarack Golf Course - West,East Brunswick,NJ,9767,"Tamarack Golf Course - Tamarack Golf Course - West, East Brunswick, NJ",6620
Tara Greens Golf Center,Tara Greens Golf Center,Somerset,NJ,9768,"Tara Greens Golf Center, Somerset, NJ",6621
Tavistock Country Club,Tavistock Country Club,Haddonfield,NJ,9769,"Tavistock Country Club, Haddonfield, NJ",3148
Terry's Facility,Terry's Facility - Terry's North Course,Flemington,NJ,9770,"Terry's Facility - Terry's North Course, Flemington, NJ",29129
Test,Test,Far Hills,NJ,9771,"Test, Far Hills, NJ",29031
Test,Test - Test 2,Far Hills,NJ,9772,"Test - Test 2, Far Hills, NJ",29502
The 9H Facility,The 9H Facility,Shark River Hills,NJ,9773,"The 9H Facility, Shark River Hills, NJ",29007
The Architects Golf Club,The Architects Golf Club,Lopatcong,NJ,9774,"The Architects Golf Club, Lopatcong, NJ",6776
The Infamous Incorrect Rating Club,The Infamous Incorrect Rating Club,Neptune,NJ,9775,"The Infamous Incorrect Rating Club, Neptune, NJ",24365
The Knoll East Golf Club,The Knoll East Golf Club,Lake Hiawatha,NJ,9776,"The Knoll East Golf Club, Lake Hiawatha, NJ",6656
The Knoll West GC,The Knoll West GC,LAKE HIAWATHA,NJ,9777,"The Knoll West GC, LAKE HIAWATHA, NJ",13391
The Links at Brigantine Beach,The Links at Brigantine Beach,Brigantine Beach,NJ,9778,"The Links at Brigantine Beach, Brigantine Beach, NJ",1344
The Meadows Golf Club,The Meadows Golf Club,LINCOLN PARK,NJ,9779,"The Meadows Golf Club, LINCOLN PARK, NJ",6896
The Pines At Clermont,The Pines At Clermont,Clermont,NJ,9780,"The Pines At Clermont, Clermont, NJ",1357
The Ridge at Back Brook,The Ridge at Back Brook,Ringoes,NJ,9781,"The Ridge at Back Brook, Ringoes, NJ",26620
The Shore Club,The Shore Club,Cape May Ct. House,NJ,9782,"The Shore Club, Cape May Ct. House, NJ",1315
The Spa,The Spa,Mcafee,NJ,9783,"The Spa, Mcafee, NJ",13389
Toms River CC,Toms River CC,Toms River,NJ,9784,"Toms River CC, Toms River, NJ",21153
Toms River Country Club,Toms River Country Club,TOMS RIVER,NJ,9785,"Toms River Country Club, TOMS RIVER, NJ",13395
Town & Country Golf Club,Town & Country Golf Club,Woodstown,NJ,9786,"Town & Country Golf Club, Woodstown, NJ",1333
TPC Jasna Polana,TPC Jasna Polana,Princeton,NJ,9787,"TPC Jasna Polana, Princeton, NJ",6789
Trenton Country Club,Trenton Country Club,West Trenton,NJ,9788,"Trenton Country Club, West Trenton, NJ",3136
Trump National Golf Club - Philadelphia,Trump National Golf Club - Philadelphia,Pine Hill,NJ,9789,"Trump National Golf Club - Philadelphia, Pine Hill, NJ",1340
Trump National Golf Club NJ,Trump National Golf Club NJ - New Course,Bedminster,NJ,9790,"Trump National Golf Club NJ - New Course, Bedminster, NJ",6657
Trump National Golf Club NJ,Trump National Golf Club NJ - Old Course,Bedminster,NJ,9791,"Trump National Golf Club NJ - Old Course, Bedminster, NJ",6622
Trump National Golf Club-Colts Neck,Trump National Golf Club-Colts Neck,Colts Neck,NJ,9792,"Trump National Golf Club-Colts Neck, Colts Neck, NJ",6623
Twisted Dune Golf Club,Twisted Dune Golf Club,Egg Harbor Twp,NJ,9793,"Twisted Dune Golf Club, Egg Harbor Twp, NJ",1332
U.S. Mid-Am Carolina GC,U.S. Mid-Am Carolina GC,Far Hills,NJ,9794,"U.S. Mid-Am Carolina GC, Far Hills, NJ",28214
U.S. Women's Mid-Am,U.S. Women's Mid-Am,Far Hills,NJ,9795,"U.S. Women's Mid-Am, Far Hills, NJ",28237
Union League National Golf Club,Union League National Golf Club - Grant,Swainton,NJ,9796,"Union League National Golf Club - Grant, Swainton, NJ",28576
Union League National Golf Club,Union League National Golf Club - Grant/Sherman,Swainton,NJ,9797,"Union League National Golf Club - Grant/Sherman, Swainton, NJ",1328
Union League National Golf Club,Union League National Golf Club - Meade,Swainton,NJ,9798,"Union League National Golf Club - Meade, Swainton, NJ",28574
Union League National Golf Club,Union League National Golf Club - Meade/Grant,Swainton,NJ,9799,"Union League National Golf Club - Meade/Grant, Swainton, NJ",1326
Union League National Golf Club,Union League National Golf Club - Modified 18,Swainton,NJ,9800,"Union League National Golf Club - Modified 18, Swainton, NJ",27047
Union League National Golf Club,Union League National Golf Club - Sherman,Swainton,NJ,9801,"Union League National Golf Club - Sherman, Swainton, NJ",28575
Union League National Golf Club,Union League National Golf Club - Sherman/Meade,Swainton,NJ,9802,"Union League National Golf Club - Sherman/Meade, Swainton, NJ",1327
Upper Montclair Country Club,Upper Montclair Country Club - Average,Clifton,NJ,9803,"Upper Montclair Country Club - Average, Clifton, NJ",23886
Upper Montclair Country Club,Upper Montclair Country Club - Upper Montclair CC - East/South,Clifton,NJ,9804,"Upper Montclair Country Club - Upper Montclair CC - East/South, Clifton, NJ",17679
Upper Montclair Country Club,Upper Montclair Country Club - Upper Montclair CC - East/West,Clifton,NJ,9805,"Upper Montclair Country Club - Upper Montclair CC - East/West, Clifton, NJ",6777
Upper Montclair Country Club,Upper Montclair Country Club - Upper Montclair CC - West/South,Clifton,NJ,9806,"Upper Montclair Country Club - Upper Montclair CC - West/South, Clifton, NJ",6778
Valley Brook Golf Course,Valley Brook Golf Course,River Vale,NJ,9807,"Valley Brook Golf Course, River Vale, NJ",6658
Valleybrook Country Club,Valleybrook Country Club,Blackwood,NJ,9808,"Valleybrook Country Club, Blackwood, NJ",1307
Vineyard Golf at Renault,Vineyard Golf at Renault,Egg Harbor City,NJ,9809,"Vineyard Golf at Renault, Egg Harbor City, NJ",1343
Walkill Golf Club,Walkill Golf Club,Franklin,NJ,9810,"Walkill Golf Club, Franklin, NJ",6742
Warrenbrook Golf Course,Warrenbrook Golf Course,Warren,NJ,9811,"Warrenbrook Golf Course, Warren, NJ",6754
Watchung Valley Golf Club,Watchung Valley Golf Club,Watchung,NJ,9812,"Watchung Valley Golf Club, Watchung, NJ",6775
Wedgwood Country Club,Wedgwood Country Club,Turnersville,NJ,9813,"Wedgwood Country Club, Turnersville, NJ",1323
Weequahic Golf Course,Weequahic Golf Course,Newark,NJ,9814,"Weequahic Golf Course, Newark, NJ",6907
Westlake Golf & Country Club,Westlake Golf & Country Club,Jackson,NJ,9815,"Westlake Golf & Country Club, Jackson, NJ",6764
Westwood Golf Club,Westwood Golf Club,Woodbury,NJ,9816,"Westwood Golf Club, Woodbury, NJ",1336
