Club Name,Course Name,City,State,Order,Full Name,Course ID
Horse Creek Golf Club,Horse Creek Golf Club,Doro,AL,100,"Horse Creek Golf Club, Doro, AL",11253
Huntsville Country Club,Huntsville Country Club,Huntsville,AL,101,"Huntsville Country Club, Huntsville, AL",11337
Indian Hills Country Club,Indian Hills Country Club,Tuscaloosa,AL,102,"Indian Hills Country Club, Tuscaloosa, AL",14984
Indian Oaks Golf Club,Indian Oaks Golf Club,Anniston,AL,103,"Indian Oaks Golf Club, Anniston, AL",11297
Indian Pines Golf Club,Indian Pines Golf Club,Auburn,AL,104,"Indian Pines Golf Club, Auburn, AL",11403
Inverness Country Club,Inverness Country Club,"Birmingham,",AL,105,"Inverness Country Club, Birmingham,, AL",11345
Isle Dauphine Golf Club,Isle Dauphine Golf Club,Dauphine Island,AL,106,"Isle Dauphine Golf Club, Dauphine Island, AL",11410
Jackson Golf Association,Jackson Golf Association,Jackson,AL,107,"Jackson Golf Association, Jackson, AL",18067
Juniper Creek,Juniper Creek,Brewton,AL,108,"Juniper Creek, Brewton, AL",11320
Kiva Dunes,Kiva Dunes,Gulf Shores,AL,109,"Kiva Dunes, Gulf Shores, AL",11321
Lagoon Park,Lagoon Park,Montgomery,AL,110,"Lagoon Park, Montgomery, AL",11379
Lake Forest Yacht & Country Club,Lake Forest Yacht & Country Club - Forest Course,Daphne,AL,111,"Lake Forest Yacht & Country Club - Forest Course, Daphne, AL",11299
Lake Guntersville State Park,Lake Guntersville State Park,Guntersville,AL,112,"Lake Guntersville State Park, Guntersville, AL",17976
Lakepoint State Golf Course,Lakepoint State Golf Course,Eufaula,AL,113,"Lakepoint State Golf Course, Eufaula, AL",11409
Lakeview Country Club,Lakeview Country Club,Greensboro,AL,114,"Lakeview Country Club, Greensboro, AL",11255
Lakewinds Golf Course,Lakewinds Golf Course,Jasksons Gap,AL,115,"Lakewinds Golf Course, Jasksons Gap, AL",11308
Lakewood Golf Club,Lakewood Golf Club - Azalea,Point Clear,AL,116,"Lakewood Golf Club - Azalea, Point Clear, AL",11352
Lakewood Golf Club,Lakewood Golf Club - Dogwood,Point Clear,AL,117,"Lakewood Golf Club - Dogwood, Point Clear, AL",11369
Lakewood Golf Course,Lakewood Golf Course,Phenix City,AL,118,"Lakewood Golf Course, Phenix City, AL",11405
Limestone Springs,Limestone Springs,Oneonta,AL,119,"Limestone Springs, Oneonta, AL",11284
Livingston Country Club,Livingston Country Club,Livingston,AL,120,"Livingston Country Club, Livingston, AL",11412
Magnolia Grove,Magnolia Grove - Crossings,Semmes,AL,121,"Magnolia Grove - Crossings, Semmes, AL",11262
Magnolia Grove,Magnolia Grove - Falls,Semmes,AL,122,"Magnolia Grove - Falls, Semmes, AL",11261
Marion Military Institute GC,Marion Military Institute GC,Marion,AL,123,"Marion Military Institute GC, Marion, AL",14008
Mill Creek Golf Course,Mill Creek Golf Course,Citronelle,AL,124,"Mill Creek Golf Course, Citronelle, AL",11264
Montevallo Golf Club,Montevallo Golf Club,Montevallo,AL,125,"Montevallo Golf Club, Montevallo, AL",11338
Montgomery Country Club,Montgomery Country Club,Montgomery,AL,126,"Montgomery Country Club, Montgomery, AL",11326
Moore's Mill Golf Club,Moore's Mill Golf Club,Auburn,AL,127,"Moore's Mill Golf Club, Auburn, AL",11314
Mountain Brook Club,Mountain Brook Club,Birmingham,AL,128,"Mountain Brook Club, Birmingham, AL",11375
Mountain View Golf Course,Mountain View Golf Course - Blue/Red,Graysville,AL,129,"Mountain View Golf Course - Blue/Red, Graysville, AL",11330
Mountain View Golf Course,Mountain View Golf Course - Blue/White,Graysville,AL,130,"Mountain View Golf Course - Blue/White, Graysville, AL",11331
Mountain View Golf Course,Mountain View Golf Course - White/Red,Graysville,AL,131,"Mountain View Golf Course - White/Red, Graysville, AL",11332
Musgrove Country Club,Musgrove Country Club,Jasper,AL,132,"Musgrove Country Club, Jasper, AL",11342
NorthRiver Yacht Club,NorthRiver Yacht Club,Tuscaloosa,AL,133,"NorthRiver Yacht Club, Tuscaloosa, AL",11325
Oak Mountain State Park Golf Course,Oak Mountain State Park Golf Course,Pelham,AL,134,"Oak Mountain State Park Golf Course, Pelham, AL",11358
Ol' Colony Golf Complex,Ol' Colony Golf Complex,Tuscaloosa,AL,135,"Ol' Colony Golf Complex, Tuscaloosa, AL",14706
Old Overton Club,Old Overton Club,Vestavia Hills,AL,136,"Old Overton Club, Vestavia Hills, AL",11252
One Club - Gulf Shores,One Club - Gulf Shores,"Gulf Shores, AL 36542",AL,137,"One Club - Gulf Shores, Gulf Shores, AL 36542, AL",28397
Opp Country Club,Opp Country Club,Opp,AL,138,"Opp Country Club, Opp, AL",11402
Oxmoor Valley,Oxmoor Valley - Ridge Course,Birmingham,AL,139,"Oxmoor Valley - Ridge Course, Birmingham, AL",11350
Oxmoor Valley,Oxmoor Valley - Short Course,Birmingham,AL,140,"Oxmoor Valley - Short Course, Birmingham, AL",11372
Oxmoor Valley,Oxmoor Valley - Valley Course,Birmingham,AL,141,"Oxmoor Valley - Valley Course, Birmingham, AL",11371
Pell City Country Club,Pell City Country Club,Pell City,AL,142,"Pell City Country Club, Pell City, AL",11317
Peninsula Golf Course,Peninsula Golf Course - Cypress/Marsh,Gulf Shores,AL,143,"Peninsula Golf Course - Cypress/Marsh, Gulf Shores, AL",11251
Peninsula Golf Course,Peninsula Golf Course - Lakes/Cypress,Gulf Shores,AL,144,"Peninsula Golf Course - Lakes/Cypress, Gulf Shores, AL",11250
Peninsula Golf Course,Peninsula Golf Course - Marsh/Lakes,Gulf Shores,AL,145,"Peninsula Golf Course - Marsh/Lakes, Gulf Shores, AL",11249
Pikeville Country Club,Pikeville Country Club,Guin,AL,146,"Pikeville Country Club, Guin, AL",11282
Pine Hill Country Club,Pine Hill Country Club,Anniston,AL,147,"Pine Hill Country Club, Anniston, AL",11315
Pine Tree Country Club,Pine Tree Country Club,Birmingham,AL,148,"Pine Tree Country Club, Birmingham, AL",15083
Point Mallard Golf Course,Point Mallard Golf Course - Point Mallard,Decatur,AL,149,"Point Mallard Golf Course - Point Mallard, Decatur, AL",17861
Point University Golf Club,Point University Golf Club,Lanett,AL,150,"Point University Golf Club, Lanett, AL",14764
Prattville Country Club,Prattville Country Club,Prattville,AL,151,"Prattville Country Club, Prattville, AL",11353
Quail Creek Golf Course,Quail Creek Golf Course,Fairhope,AL,152,"Quail Creek Golf Course, Fairhope, AL",11394
Quail Creek Resort,Quail Creek Resort,Hartselle,AL,153,"Quail Creek Resort, Hartselle, AL",14011
Quail Walk Country Club,Quail Walk Country Club,Wetumpka,AL,154,"Quail Walk Country Club, Wetumpka, AL",11283
Redmont Recreation Club,Redmont Recreation Club,Red Bay,AL,155,"Redmont Recreation Club, Red Bay, AL",11265
Richland Golf Center,Richland Golf Center,Huntsville,AL,156,"Richland Golf Center, Huntsville, AL",11397
River Oaks Golf Course,River Oaks Golf Course,Geneva,AL,157,"River Oaks Golf Course, Geneva, AL",11304
Riverchase Country Club,Riverchase Country Club - Riverchase CC,Birmingham,AL,158,"Riverchase Country Club - Riverchase CC, Birmingham, AL",17893
Rock Creek,Rock Creek,Fairhope,AL,159,"Rock Creek, Fairhope, AL",11380
Roebuck Golf Course,Roebuck Golf Course,Birmingham,AL,160,"Roebuck Golf Course, Birmingham, AL",11349
Ross Bridge Golf Course,Ross Bridge Golf Course,Birmingham,AL,161,"Ross Bridge Golf Course, Birmingham, AL",11357
Roundabout Plantation Golf Club,Roundabout Plantation Golf Club,Dothan,AL,162,"Roundabout Plantation Golf Club, Dothan, AL",11391
Saugahatchee Country Club,Saugahatchee Country Club,Opelika,AL,163,"Saugahatchee Country Club, Opelika, AL",15187
Selma Country Club,Selma Country Club,Selma,AL,164,"Selma Country Club, Selma, AL",11363
Shoal Creek Club,Shoal Creek Club,Shoal Creek,AL,165,"Shoal Creek Club, Shoal Creek, AL",11312
Silver Lakes,Silver Lakes - Backbreaker-Mindbreaker,Glencoe,AL,166,"Silver Lakes - Backbreaker-Mindbreaker, Glencoe, AL",17722
Silver Lakes,Silver Lakes - Heartbreaker-Backbreaker,Glencoe,AL,167,"Silver Lakes - Heartbreaker-Backbreaker, Glencoe, AL",17724
Silver Lakes,Silver Lakes - Mindbreaker-Heartbreaker,Glencoe,AL,168,"Silver Lakes - Mindbreaker-Heartbreaker, Glencoe, AL",17723
Silver Wings Golf Course,Silver Wings Golf Course - Blue/Red,Ft Rucker,AL,169,"Silver Wings Golf Course - Blue/Red, Ft Rucker, AL",11287
Silver Wings Golf Course,Silver Wings Golf Course - Red/White,Ft Rucker,AL,170,"Silver Wings Golf Course - Red/White, Ft Rucker, AL",11288
Silver Wings Golf Course,Silver Wings Golf Course - White/Blue,Ft Rucker,AL,171,"Silver Wings Golf Course - White/Blue, Ft Rucker, AL",11286
Soldiers Creek Golf Course,Soldiers Creek Golf Course,Elberta,AL,172,"Soldiers Creek Golf Course, Elberta, AL",11390
Southern Gayles Golf Club,Southern Gayles Golf Club,Athens,AL,173,"Southern Gayles Golf Club, Athens, AL",11354
Spring Hill College Golf Club,Spring Hill College Golf Club,Mobile,AL,174,"Spring Hill College Golf Club, Mobile, AL",11411
Steelwood,Steelwood,Loxley,AL,175,"Steelwood, Loxley, AL",11381
Stillwaters Golf,Stillwaters Golf,Dadeville,AL,176,"Stillwaters Golf, Dadeville, AL",14768
Sunset Landing Golf Course,Sunset Landing Golf Course,Huntsville,AL,177,"Sunset Landing Golf Course, Huntsville, AL",18070
Sylacauga Country Club,Sylacauga Country Club,Sylacauga,AL,178,"Sylacauga Country Club, Sylacauga, AL",11377
Tartan Pines Golf Club,Tartan Pines Golf Club,Enterprise,AL,179,"Tartan Pines Golf Club, Enterprise, AL",11395
Terrapin Hills Country Club,Terrapin Hills Country Club,Fort Payne,AL,180,"Terrapin Hills Country Club, Fort Payne, AL",11392
The Ledges Country Club,The Ledges Country Club,Huntsville,AL,181,"The Ledges Country Club, Huntsville, AL",11329
The Links at Redstone,The Links at Redstone - Patriot Course,Redstone Arsenal,AL,182,"The Links at Redstone - Patriot Course, Redstone Arsenal, AL",11256
The Links at Redstone,The Links at Redstone - Warrior,Redstone Arsenal,AL,183,"The Links at Redstone - Warrior, Redstone Arsenal, AL",13685
The Links of Tuscaloosa,The Links of Tuscaloosa,Tuscaloosa,AL,184,"The Links of Tuscaloosa, Tuscaloosa, AL",11324
The Pines of Chatom,The Pines of Chatom,Chatom,AL,185,"The Pines of Chatom, Chatom, AL",11273
The Pines of Millbrook,The Pines of Millbrook,Millbrook,AL,186,"The Pines of Millbrook, Millbrook, AL",11267
The Ravine Golf Course,The Ravine Golf Course,Demopolis,AL,187,"The Ravine Golf Course, Demopolis, AL",11327
The Shoals,The Shoals - Fighting Joe,Muscle Shoals,AL,188,"The Shoals - Fighting Joe, Muscle Shoals, AL",11361
The Shoals,The Shoals - The Schoolmaster,Muscle Shoals,AL,189,"The Shoals - The Schoolmaster, Muscle Shoals, AL",11360
