Club Name,Course Name,City,State,Order,Full Name,Course ID,Google Places ID,Latitude,Longitude
Hooch Golf Club,Hooch Golf Club,Duluth,GA,3861,"Hooch Golf Club, Duluth, GA",8949,ChIJ-1Z5QoiY9YgROuXPPC0DctI,34.023919,-84.145748
Horseshoe Bend Country Club,Horseshoe Bend Country Club,Roswell,GA,3862,"Horseshoe Bend Country Club, Roswell, GA",9015,ChIJDzM5GvQK9YgR7OYwTG_-hVM,33.984286,-84.290506
Houston Lake Country Club,Houston Lake Country Club,Perry,GA,3863,"Houston Lake Country Club, Perry, GA",9117,ChIJ206bGJDe84gROjcSdm2a_mI,32.5036674,-83.6652492
Houston Springs Golf Club,Houston Springs Golf Club,Perry,GA,3864,"Houston Springs Golf Club, Perry, GA",9105,ChIJ81BZaarE84gR_v7_QXR42fE,32.472168,-83.76634
Hunter Golf Club,Hunter Golf Club,Hunter Airfield,GA,3865,"Hunter Golf Club, Hunter Airfield, GA",23899,ChIJv7LheQp1-4gRsvo8WADdXEQ,#N/A,#N/A
Hunter Pope Country Club,Hunter Pope Country Club,Monticello,GA,3866,"Hunter Pope Country Club, Monticello, GA",9148,ChIJ6WnZKRQh9IgRwOkeAV35rso,33.234492,-83.731498
Idle Hour Club,Idle Hour Club,Macon,GA,3867,"Idle Hour Club, Macon, GA",8937,ChIJN4SAfAX584gRx25qXr115LE,#N/A,#N/A
Indian Hills Country Club,Indian Hills Country Club - Cherokee,Marietta,GA,3868,"Indian Hills Country Club - Cherokee, Marietta, GA",23975,ChIJE7lQ9nMS9YgRyypvNSwECkY,33.966098,-84.428384
Indian Hills Country Club,Indian Hills Country Club - Cherokee/Seminole,Marietta,GA,3869,"Indian Hills Country Club - Cherokee/Seminole, Marietta, GA",21219,ChIJE7lQ9nMS9YgRyypvNSwECkY,33.966098,-84.428384
Indian Hills Country Club,Indian Hills Country Club - Choctaw,Marietta,GA,3870,"Indian Hills Country Club - Choctaw, Marietta, GA",23974,ChIJE7lQ9nMS9YgRyypvNSwECkY,33.966098,-84.428384
Indian Hills Country Club,Indian Hills Country Club - Choctaw/Cherokee,Marietta,GA,3871,"Indian Hills Country Club - Choctaw/Cherokee, Marietta, GA",21220,ChIJE7lQ9nMS9YgRyypvNSwECkY,33.966098,-84.428384
Indian Hills Country Club,Indian Hills Country Club - Seminole,Marietta,GA,3872,"Indian Hills Country Club - Seminole, Marietta, GA",23976,ChIJE7lQ9nMS9YgRyypvNSwECkY,33.966098,-84.428384
