Address,Course ID
"McCormick Ranch, Scottsdale, AZ",13287
"McCormick Ranch, Scottsdale, AZ",13286
"McDowell Mountain Golf Club, Scottsdale, AZ",15033
"Mesa Country Club, Mesa, AZ",13164
"Mesa Del Sol Golf Course, Yuma, AZ",13261
"Mesa View Golf Course, Bagdad, AZ",20711
"Mirabel Club, The, Carefree, AZ",13315
"Mission Royale Golf Club, Casa Grande, AZ",13194
"Moon Valley Country Club, Phoenix, AZ",13089
"Mountain Brook GC, Gold Canyon, AZ",13246
"Mountain Shadows GC, Scottsdale, AZ",13031
"Mountain Shadows Golf Club, Paradise Valley, AZ",26611
"MountainView Golf Club @ Ft. Huachuca, Ft. Huachuca, AZ",13213
"MountainView Golf Club @ Saddlebrooke, Tucson, AZ",13345
"Oakcreek Country Club, Sedona, AZ",13256
"Oakwood Country Club, Sun Lakes, AZ",17889
"Oakwood Country Club, Sun Lakes, AZ",13302
"Oakwood Country Club, Sun Lakes, AZ",13335
"Oakwood Country Club, Sun Lakes, AZ",13300
"Oakwood Country Club, Sun Lakes, AZ",17888
"Oakwood Country Club, Sun Lakes, AZ",13301
"Ocotillo Golf Club, Chandler, AZ",13131
"Ocotillo Golf Club, Chandler, AZ",13129
"Ocotillo Golf Club, Chandler, AZ",13130
"Orange Tree GR, Scottsdale, AZ",13201
"Oro Valley Country Club, Oro Valley, AZ",13248
"Painted Mountain Golf Resort, Mesa, AZ",13202
"Palm Valley Golf Club, Goodyear, AZ",13198
"Palm Valley Golf Club, Goodyear, AZ",28303
"Palm Valley Golf Club, Goodyear, AZ",28305
"Palm Valley Golf Club, Goodyear, AZ",13199
"Palm Valley Golf Club, Goodyear, AZ",28304
"PalmBrook Country Club, Sun City, AZ",13252
"Palo Duro Creek Golf Course, Nogales, AZ",13187
"Palo Verde CC- Sun Lakes, Sun Lakes, AZ",13334
"Palo Verde GC, Phoenix, AZ",13174
"Papago Golf Course, Phoenix, AZ",13085
"Paradise Valley CC, Paradise Valley, AZ",13305
"Pavilion Lakes Golf Club, Scottsdale, AZ",13319
"Payson Golf Course, Payson, AZ",13184
"Pebblebrook GC - Sun City West, Sun City West, AZ",13296
"Peninsula de Cortes Golf Club, Puerto Penasco, AZ",20809
"Peoria Pines Golf & Restaurant, Peoria, AZ",13205
"Phoenician, Scottsdale, AZ",26109
"Phoenician, Scottsdale, AZ",13143
"Phoenician, Scottsdale, AZ",13142
"Phoenician, Scottsdale, AZ",13144
"Phoenix Country Club, Phoenix, AZ",13307
"Pine Canyon Club, The, Flagstaff, AZ",13188
"Pine Meadows CC, Overgaard, AZ",13021
"Pinetop Country Club, Pinetop, AZ",13222
"Pinetop Lakes G & CC, Pinetop, AZ",13255
"Pinewood Country Club, Munds Park, AZ",13037
"Pinnacle Peak Country Club, Scottsdale, AZ",13054
"Poston Butte Golf Club, Florence, AZ",13063
"Prescott Golf Club, Dewey, AZ",13308
"Preserve at Saddlebrooke, The, Tucson, AZ",13186
"Pueblo del Sol GC, Sierra Vista, AZ",13191
"Pueblo El Mirage, El Mirage, AZ",13234
"Quail Creek CC, Green Valley, AZ",27166
"Quail Creek CC, Green Valley, AZ",13035
"Quail Creek CC, Green Valley, AZ",27164
"Quail Creek CC, Green Valley, AZ",13034
"Quail Creek CC, Green Valley, AZ",27165
"Quail Creek CC, Green Valley, AZ",13036
"Quail Run GC - Sun City, Sun City, AZ",20808
"Quailwood Greens, Dewey, AZ",13185
"Quarry Pines Golf Club, Tucson, AZ",13209
