Place,Course ID,Place ID
"Jackson Golf Association, Jackson, AL",18067,ChIJ-bVXhpvJmogRhrXc0OyU2yc
"Juniper Creek, Brewton, AL",11320,ChIJlc350QpIkIgR_xEss0Tn3rw
"Kiva Dunes, Gulf Shores, AL",11321,ChIJOfGe1CsimogRG6SU3fczTkA
"Lagoon Park, Montgomery, AL",11379,ChIJjdM6E4MpjIgR4c-zT4vtXuA
"Lake Forest Yacht & Country Club, Daphne, AL",11299,ChIJhRZjRVhCmogREXN68Tc2EYQ
"Lake Guntersville State Park, Guntersville, AL",17976,ChIJZUGJDi4BiogRsko-g12d2i0
"Lakepoint State Golf Course, Eufaula, AL",11409,ChIJiRsDTf45jYgRrKj9wEkmjxE
"Lakeview Country Club, Greensboro, AL",11255,ChIJ7f-fdojzhYgRsBkyvTmt3v0
"Lakewinds Golf Course, Jasksons Gap, AL",11308,ChIJY8CNcbdzjIgRJRE05GSAlhg
"Lakewood Golf Club, Point Clear, AL",11352,ChIJd66HOz8_mogRZSKs28ZoJcw
"Lakewood Golf Club, Point Clear, AL",11369,ChIJd66HOz8_mogRZSKs28ZoJcw
"Lakewood Golf Course, Phenix City, AL",11405,ChIJxxga9ZjOjIgRx9hksAIM2fU
"Limestone Springs, Oneonta, AL",11284,ChIJ7RVAIm-YiYgRNfqW7FIeK78
"Livingston Country Club, Livingston, AL",11412,ChIJIbXhmoVMhIgRoF4fvqvIYRE
"Magnolia Grove, Semmes, AL",11262,ChIJK0x66wStm4gR34FvibW8tXU
"Magnolia Grove, Semmes, AL",11261,ChIJK0x66wStm4gR34FvibW8tXU
"Marion Military Institute GC, Marion, AL",14008,ChIJKcmmoWtpj4gRyRYC-KJellM
"Mill Creek Golf Course, Citronelle, AL",11264,ChIJTbCW5bMam4gROSaA59feAkA
"Montevallo Golf Club, Montevallo, AL",11338,ChIJs3ZHRWoqiYgRDFOLjzq-SjU
"Montgomery Country Club, Montgomery, AL",11326,ChIJIWoJgLaBjogRj2YRW0up4hw
"Moore's Mill Golf Club, Auburn, AL",11314,ChIJHfbvhG3yjIgRbcxDKN72Hwg
"Mountain Brook Club, Birmingham, AL",11375,ChIJc-WD-agQiYgRCTDpm-Fl9bU
"Mountain View Golf Course, Graysville, AL",11330,ChIJz6EW5Kz9iIgR7qUsq-ByLbE
"Mountain View Golf Course, Graysville, AL",11331,ChIJz6EW5Kz9iIgR7qUsq-ByLbE
"Mountain View Golf Course, Graysville, AL",11332,ChIJz6EW5Kz9iIgR7qUsq-ByLbE
"Musgrove Country Club, Jasper, AL",11342,ChIJlbErsGdmiIgRpGX8Uj89Kr8
"NorthRiver Yacht Club, Tuscaloosa, AL",11325,ChIJ54x_EOKmiIgRvTrc306S_mk
"Oak Mountain State Park Golf Course, Pelham, AL",11358,ChIJz93GX08jiYgRITpg5BjFgLc
"Ol' Colony Golf Complex, Tuscaloosa, AL",14706,ChIJGzQwuIuniIgRNs0Wtwk-bJY
"Old Overton Club, Vestavia Hills, AL",11252,ChIJHZitoEkRiYgRf-mxwV44oKI
"One Club - Gulf Shores, Gulf Shores, AL 36542, AL",28397,ChIJV6PkUlkFmogRQmmmYtoaLO8
"Opp Country Club, Opp, AL",11402,ChIJqUxQnLj1kYgRaN9YMOpbJJo
"Oxmoor Valley, Birmingham, AL",11350,ChIJE-jEH5MfiYgRbXHLukmxU7I
"Oxmoor Valley, Birmingham, AL",11372,ChIJE-jEH5MfiYgRbXHLukmxU7I
"Oxmoor Valley, Birmingham, AL",11371,ChIJE-jEH5MfiYgRbXHLukmxU7I
"Pell City Country Club, Pell City, AL",11317,ChIJreRQTf_Xi4gRfyupYet04Qo
"Peninsula Golf Course, Gulf Shores, AL",11251,ChIJU_aEG-EbmogRBeYjYV67EDI
"Peninsula Golf Course, Gulf Shores, AL",11250,ChIJU_aEG-EbmogRBeYjYV67EDI
"Peninsula Golf Course, Gulf Shores, AL",11249,ChIJU_aEG-EbmogRBeYjYV67EDI
"Pikeville Country Club, Guin, AL",11282,ChIJtz20Pnm7h4gRuyZRUx23D_s
"Pine Hill Country Club, Anniston, AL",11315,ChIJIfPo31ysi4gRDxwc3rqdIgI
"Pine Tree Country Club, Birmingham, AL",15083,ChIJUR2Ym80TiYgRaC8agE8em1Q
"Point Mallard Golf Course, Decatur, AL",17861,ChIJlcGLPMWAYogRMKGxFrDjM7M
"Point University Golf Club, Lanett, AL",14764,ChIJa-0xi7ujjIgR814FNbYq-Lg
"Prattville Country Club, Prattville, AL",11353,ChIJmZM1wAOPjogRh7uAOK8iayo
"Quail Creek Golf Course, Fairhope, AL",11394,ChIJtQOScbJqmogRnvaxEg52m-8
"Quail Creek Resort, Hartselle, AL",14011,ChIJcXZ0bYjUiYgRcKzc-6N3J-4
"Quail Walk Country Club, Wetumpka, AL",11283,ChIJu0C6KCwnjIgRvEdqxYxyqIQ
"Redmont Recreation Club, Red Bay, AL",11265,ChIJeWFRCUaAh4gRjSiZA6tARB8
"Richland Golf Center, Huntsville, AL",11397,ChIJBQJTNuM_YogRWwu8W3xUKGA
"River Oaks Golf Course, Geneva, AL",11304,ChIJrfqvHxFGkogRSCZ9cbT8vFs
"Riverchase Country Club, Birmingham, AL",17893,ChIJRfcmxNcjiYgRTuFcyUs-Vy0
"Rock Creek, Fairhope, AL",11380,ChIJh2iBU6RBmogR5qiJV0bndWY
"Roebuck Golf Course, Birmingham, AL",11349,ChIJ62AVwtsPiYgRU3guqhV03TI
"Ross Bridge Golf Course, Birmingham, AL",11357,ChIJAdBOPSIgiYgRBm-AAzehX-8
"Roundabout Plantation Golf Club, Dothan, AL",11391,ChIJg-gCKqmVkogRDpSr4dROoMY
"Saugahatchee Country Club, Opelika, AL",15187,ChIJjRi0IHPtjIgRGHqMdErM5zg
"Selma Country Club, Selma, AL",11363,ChIJSQxhAXUGj4gRdmSzvS7JZ_E
"Shoal Creek Club, Shoal Creek, AL",11312,ChIJz1vqj_wUiYgR4J7m7BFFeks
"Silver Lakes, Glencoe, AL",17722,ChIJn455mSJIiogRTS2W9tgjqYA
"Silver Lakes, Glencoe, AL",17724,ChIJn455mSJIiogRTS2W9tgjqYA
"Silver Lakes, Glencoe, AL",17723,ChIJn455mSJIiogRTS2W9tgjqYA
"Silver Wings Golf Course, Ft Rucker, AL",11287,ChIJKeRCs9lkkogRmjtKw1Chlr8
"Silver Wings Golf Course, Ft Rucker, AL",11288,ChIJKeRCs9lkkogRmjtKw1Chlr8
"Silver Wings Golf Course, Ft Rucker, AL",11286,ChIJKeRCs9lkkogRmjtKw1Chlr8
"Soldiers Creek Golf Course, Elberta, AL",11390,ChIJwf9DzfoJmogR46gZWarPGPk
"Southern Gayles Golf Club, Athens, AL",11354,ChIJPUu_txFfYogRtkyk37NCBKk
"Spring Hill College Golf Club, Mobile, AL",11411,ChIJ_b1rhnxNmogR4wxagyjTDpQ
"Steelwood, Loxley, AL",11381,ChIJL1iceWVlmogR--iv_R7FMvc
"Stillwaters Golf, Dadeville, AL",14768,ChIJHds2HtFujIgRtvqEMjE0Ix8
"Sunset Landing Golf Course, Huntsville, AL",18070,ChIJW7uvjSRlYogRqrbo9zVbdj0
"Sylacauga Country Club, Sylacauga, AL",11377,ChIJQxRDgbnii4gRQdlhlqlYPxI
"Tartan Pines Golf Club, Enterprise, AL",11395,ChIJ8SGGLkNskogRFQpOdHK2SIs
"Terrapin Hills Country Club, Fort Payne, AL",11392,ChIJT_fDO6bWYYgRNBfQQ2cfWso
"The Ledges Country Club, Huntsville, AL",11329,ChIJIQUMxjcSYogRFQdyu-oUOA0
"The Links at Redstone, Redstone Arsenal, AL",11256,ChIJs7tsf5puYogRTmqTJofI9PE
"The Links at Redstone, Redstone Arsenal, AL",13685,ChIJs7tsf5puYogRTmqTJofI9PE
"The Links of Tuscaloosa, Tuscaloosa, AL",11324,ChIJGXH4qSQChogR2J7AQT8Y0mQ
"The Pines of Chatom, Chatom, AL",11273,ChIJy8lwrkIom4gRns0KNZ2V7lk
"The Pines of Millbrook, Millbrook, AL",11267,ChIJwxqPBAObjogRVH6ZDeiwDCY
"The Ravine Golf Course, Demopolis, AL",11327,ChIJJawyIZaZhYgR6PoE5Ozfwvg
"The Shoals, Muscle Shoals, AL",11361,ChIJYwPCKrVOfYgRIbMsaSKksfE
"The Shoals, Muscle Shoals, AL",11360,ChIJYwPCKrVOfYgRIbMsaSKksfE
"Timber Creek Golf Club, Daphne, AL",11367,ChIJMdYbRphCmogRQUbURnETLoE
"Timber Creek Golf Club, Daphne, AL",11366,ChIJMdYbRphCmogRQUbURnETLoE
"Timber Creek Golf Club, Daphne, AL",11368,ChIJMdYbRphCmogRQUbURnETLoE
"Timber Ridge Golf Club, Talledega, AL",11309,ChIJXbsCPqDDi4gRCvGC9prLi2w
"Timberline Golf Course, Calera, AL",11336,ChIJQ2gqPHMyiYgRJhlgHvSeqbY
"TP Country Club, Cullman, AL",11355,ChIJHTS1iLjMiYgRgFk5YYbNcIU
"Troy Country Club, Troy, AL",11311,ChIJh3MewwntjYgRsDypQfKFL-Y
"Trussville Country Club, Trussville, AL",11346,ChIJh4N72OhyiYgR--NjRZwWhf0
"Turtle Point Yacht & CC, Killen, AL",11274,ChIJRzOj4U81fYgRYyzo7N47MOc
"Twin Bridges Golf Club, Gadsden, AL",11384,ChIJ1UUqFOg-iogRXNIk4H-_7D0
"Twin Pines, Russellville, AL",11275,ChIJFVZYuWdYfYgRtI1KNUMZp4g
"Valley Grande Golf Course, Valley Grande, AL",11310,ChIJq5R6lTEOj4gRJ0eMsNavqms
"Valley Hill Country Club, Huntsville, AL",11341,ChIJnVMf1fISYogRqo3hR5dlt5w
"Valley Hill Country Club, Huntsville, AL",11340,ChIJnVMf1fISYogRqo3hR5dlt5w
"Valley Hill Country Club, Huntsville, AL",11339,ChIJnVMf1fISYogRqo3hR5dlt5w
"Valley Landing Golf Course, Courtland, AL",11386,ChIJbdwm2K2Af4gRKL86rFjHopI
"Vanity Fair Golf & Tennis Club, Monroeville, AL",14215,ChIJV301OX0ckIgRfvpICkxUnRs
"Vestavia Country Club, Birmingham, AL",14710,ChIJy2LHsKgZiYgRFiPJx6OJS7I
"Willow Point Golf & Country Club, Alexander City, AL",14948,ChIJsePtYV8SjIgRT2Ues8TwC7o
"Woodward Golf & Country Club, Bessemer, AL",11389,ChIJM7rqS-ngiIgRPAC3Ovlm7ok
"Wynlakes Golf & Country Club, Montgomery, AL",11344,ChIJQ17iG1wsjIgRYtxWRrfgm_Y
"Anchorage Golf Course, Anchorage, AK",12978,ChIJ7RRHo_eZyFYRO31C2q73b7k
"Bear Valley Golf Course, Kodiak, AK",12990,ChIJOQaTcUrD6lYRz7QGf0AesDA
"Birch Ridge GC, Soldotna, AK",12987,ChIJ6UK2jjVhxlYRz-TL5nwqdSU
"Bird Homestead GC, Soldotna, AK",12986,ChIJvWJtLGJnxlYRxmhKNFe87yk
"Chena Bend GC, Fairbanks, AK",12981,ChIJC_M9NpZPMlERKzPtshXZIEs
"Eagleglen GC, Anchorage, AK",12991,ChIJR6RiSeiVyFYR2ELFj9TRXII
"Fairbanks GC, Fairbanks, AK",12982,ChIJudqIgO5FMlERAWtAJFQE-3A
"Fishhook GC, Palmer, AK",12980,ChIJaV_WYnAeyVYRUPDpiaQN0mo
"Kenai Golf Association, Kenai, AK",12988,ChIJOak17VJ7xlYRWYg_mptF6dA
"Moose Run GC, Anchorage, AK",12989,ChIJ9xOJtUaUyFYRjvfg28zXGfg
"Moose Run GC, Anchorage, AK",12992,ChIJ9xOJtUaUyFYRjvfg28zXGfg
"North Star GC, Fairbanks, AK",12983,ChIJudqIgO5FMlERAWtAJFQE-3A
"Palmer GC, Palmer, AK",12984,ChIJJTYchIgdyVYRrsv-dBpNzS4
