Place,Course ID,Place ID
"Gunter's Landing Golf Club, Guntersville, AL",116,ChIJQ8cDgmL_iYgRXi4H2l4Dlbs
"Stoney Mountain Golf Club, Guntersville, AL",117,ChIJfXFM6pv8iYgR96qj24fa6jM
"Haleyville Country Club, Haleyville, AL",118,ChIJSd93F2njh4gRRGemtCBpUnI
"Cross Creek Golf Course, Hanceville, AL",119,ChIJmWiU3Pm1iYgRLpwzrmC-POA
"QC Golf & RV, Hartselle, AL",120,ChIJj01Jw4bUiYgRsKQfurHdt6E
"Plantation Golf Club, Hayden, AL",121,ChIJ7RVAIm-YiYgRNfqW7FIeK78
"Headland Country Club, Headland, AL",122,ChIJ70dk4U29kogRot_YR_flv7A
"Silver Ridge Golf Club, Horton, AL",123,N/A
"Silver King Golf Club, Irvington, AL",124,ChIJDZGKM8DLm4gR64Z_mzg7uC4
"Jackson Links Golf Course, Jackson, AL",125,ChIJ-bVXhpvJmogRhrXc0OyU2yc
"Lakewinds Golf Course, Jacksons Gap, AL",126,ChIJY8CNcbdzjIgRJRE05GSAlhg
"Musgrove Country Club, Jasper, AL",127,ChIJlbErsGdmiIgRpGX8Uj89Kr8
"Turtle Point Yacht & Country Club, Killen, AL",128,ChIJRzOj4U81fYgRYyzo7N47MOc
"Lakeview Country Club, Lake View, AL",129,ChIJh2e784LGiIgRsagvLSq8Ty4
"Point University Golf Club, Lanett, AL",130,ChIJa-0xi7ujjIgR814FNbYq-Lg
"Linden Country Club, Linden, AL",131,ChIJoUOeuWJ2hYgR_qba0hhJ75E
"Livingston Country Club, Livingston, AL",132,ChIJIbXhmoVMhIgRoF4fvqvIYRE
"Steelwood, Loxley, AL",133,ChIJL1iceWVlmogR--iv_R7FMvc
"Crenshaw County Recreational Club, Luverne, AL",134,ChIJW3PB9T4HjogR0c23ujvPIw8
"Marion Military Institute Golf Course, Marion, AL",135,ChIJKcmmoWtpj4gRyRYC-KJellM
"East at Cypress Tree Golf Course, Maxwell AFB, AL",136,ChIJ3YARaKCGjogRffcTtfGg8tk
"West at Cypress Tree Golf Course, Maxwell AFB, AL",137,ChIJ3YARaKCGjogRffcTtfGg8tk
"Lil'Mole Run Golf Course, Mentone, AL",138,ChIJGVJos2ktYIgR6gbiZjPWKw0
"Saddle Rock Golf Course, Mentone, AL",139,ChIJfZ8doDXTYYgRlZUOheV3ODw
"Colonial Golf Course, Meridianville, AL",140,ChIJyekRGo5AYogRIaui2IFXLpc
"Fox Run Golf Course, Meridianville, AL",141,ChIJ4zQo-R8_YogRPh1u8HxU0cg
"Pines Golf Course, Millbrook, AL",142,ChIJwxqPBAObjogRVH6ZDeiwDCY
"Vanity Fair Golf & Tennis Club, Monroeville, AL",143,ChIJV301OX0ckIgRfvpICkxUnRs
"Montevallo Golf Club, Montevallo, AL",144,ChIJs3ZHRWoqiYgRDFOLjzq-SjU
"Green Briar Golf Course, Morris, AL",145,ChIJ70T3pNmpiYgRhwTr2wB3FtU
"Deer Run Golf Course, Moulton, AL",146,ChIJizWE01WnYogREl3cPz59ih0
"Cypress Lakes Golf & Country Club, Muscle Shoals, AL",147,ChIJW-WP0sFOfYgRhK9yEW1peFw
"The Shoals Golf Club - Fighting Joe Course, Muscle Shoals, AL",148,ChIJnx4PPEq1YogR50WVE-VBAt0
"The Shoals Golf Club - Schoolmaster Course, Muscle Shoals, AL",149,ChIJnx4PPEq1YogR50WVE-VBAt0
"Hidden Meadows Golf Course, Northport, AL",150,ChIJc1mk5pcbhogR8pcfX1nTZ48
"Heritage Golf Course, Oneonta, AL",151,ChIJ_SP4PgKRiYgRWNSJptHkIgM
"Limestone Springs Golf Club, Oneonta, AL",152,ChIJ7RVAIm-YiYgRNfqW7FIeK78
"Whispering Pines Golf Course, Oneonta, AL",153,N/A
"Saugahatchee Country Club, Opelika, AL",154,ChIJjRi0IHPtjIgRGHqMdErM5zg
"The Lake at Grand National Golf Course, Opelika, AL",155,ChIJmVHzrIiSjIgRY3MUJQRKDGc
"The Links at Grand National Golf Course, Opelika, AL",156,ChIJkYSs4HiSjIgRTWnZj5hw-hw
"The Short at Grand National Golf Course, Opelika, AL",157,ChIJkYSs4HiSjIgRTWnZj5hw-hw
"Opp Country Club, Opp, AL",158,ChIJqUxQnLj1kYgRaN9YMOpbJJo
"Orange Beach Golf Center, Orange Beach, AL",159,ChIJpdcZNm4GmogRTiYYLABxDtE
"Highlands at Hampton Cove Golf Course, Owens Cross Roads, AL",160,ChIJrzvBmbURYogRt2iBjiJyJbQ
"River at Hampton Cove Golf Course, Owens Cross Roads, AL",161,ChIJrzvBmbURYogRt2iBjiJyJbQ
"Short at Hampton Cove Golf Course, Owens Cross Roads, AL",162,ChIJrzvBmbURYogRt2iBjiJyJbQ
"Cider Ridge Golf Club, Oxford, AL",163,ChIJexd9LEiui4gR0xG4B2PiLZI
"Fox Ridge Golf Course, Ozark, AL",164,ChIJw-XOAw5-kogR9n5QUdcAHgc
"Ballantrae Golf Club, Pelham, AL",165,ChIJ7awo-CgliYgRyC4TL51yMjg
"Oaks Golf Club at Oak Mountain State Park, Pelham, AL",166,ChIJz93GX08jiYgRITpg5BjFgLc
"Pell City Country Club, Pell City, AL",167,ChIJreRQTf_Xi4gRfyupYet04Qo
"Lakewood Golf Course, Phenix City, AL",168,ChIJxxga9ZjOjIgRx9hksAIM2fU
